species,region,cv,extrapolate
awt01,AWT,random,1
awt01,AWT,spatial,31
awt02,AWT,random,0
awt02,AWT,spatial,31
awt03,AWT,random,0
awt03,AWT,spatial,24
awt04,AWT,random,1
awt04,AWT,spatial,24
awt05,AWT,random,0
awt05,AWT,spatial,31
awt06,AWT,random,1
awt06,AWT,spatial,24
awt07,AWT,random,0
awt07,AWT,spatial,31
awt08,AWT,random,1
awt08,AWT,spatial,31
awt09,AWT,random,0
awt09,AWT,spatial,24
awt10,AWT,random,1
awt10,AWT,spatial,24
awt11,AWT,random,1
awt11,AWT,spatial,24
awt12,AWT,random,0
awt12,AWT,spatial,31
awt13,AWT,random,1
awt13,AWT,spatial,24
awt14,AWT,random,2
awt14,AWT,spatial,31
awt15,AWT,random,0
awt15,AWT,spatial,24
awt16,AWT,random,0
awt16,AWT,spatial,24
awt17,AWT,random,1
awt17,AWT,spatial,24
awt18,AWT,random,2
awt18,AWT,spatial,24
awt19,AWT,random,2
awt19,AWT,spatial,31
awt20,AWT,random,1
awt20,AWT,spatial,24
awt21,AWT,random,24
awt21,AWT,spatial,31
awt25,AWT,random,24
awt25,AWT,spatial,34
awt27,AWT,random,23
awt27,AWT,spatial,31
awt31,AWT,random,22
awt31,AWT,spatial,31
awt33,AWT,random,22
awt33,AWT,spatial,34
awt35,AWT,random,22
awt35,AWT,spatial,36
awt36,AWT,random,23
awt36,AWT,spatial,31
awt37,AWT,random,26
awt37,AWT,spatial,36
awt38,AWT,random,24
awt38,AWT,spatial,31
awt39,AWT,random,22
awt39,AWT,spatial,34
can01,CAN,random,88
can01,CAN,spatial,254
can02,CAN,random,89
can02,CAN,spatial,374
can03,CAN,random,84
can03,CAN,spatial,145
can04,CAN,random,91
can04,CAN,spatial,374
can05,CAN,random,91
can05,CAN,spatial,254
can06,CAN,random,95
can06,CAN,spatial,144
can07,CAN,random,92
can07,CAN,spatial,135
can08,CAN,random,86
can08,CAN,spatial,156
can09,CAN,random,95
can09,CAN,spatial,254
can10,CAN,random,90
can10,CAN,spatial,141
can11,CAN,random,88
can11,CAN,spatial,141
can12,CAN,random,81
can12,CAN,spatial,144
can13,CAN,random,88
can13,CAN,spatial,255
can14,CAN,random,98
can14,CAN,spatial,144
can15,CAN,random,96
can15,CAN,spatial,374
can16,CAN,random,103
can16,CAN,spatial,141
can17,CAN,random,93
can17,CAN,spatial,250
can18,CAN,random,87
can18,CAN,spatial,140
can19,CAN,random,86
can19,CAN,spatial,137
can20,CAN,random,103
can20,CAN,spatial,141
nsw01,NSW,random,77
nsw01,NSW,spatial,81
nsw03,NSW,random,76
nsw03,NSW,spatial,74
nsw05,NSW,random,80
nsw05,NSW,spatial,74
nsw07,NSW,random,81
nsw07,NSW,spatial,74
nsw08,NSW,random,8
nsw08,NSW,spatial,25
nsw09,NSW,random,6
nsw09,NSW,spatial,21
nsw11,NSW,random,5
nsw11,NSW,spatial,21
nsw12,NSW,random,5
nsw12,NSW,spatial,25
nsw13,NSW,random,6
nsw13,NSW,spatial,21
nsw14,NSW,random,4
nsw14,NSW,spatial,21
nsw15,NSW,random,6
nsw15,NSW,spatial,21
nsw16,NSW,random,14
nsw16,NSW,spatial,29
nsw17,NSW,random,15
nsw17,NSW,spatial,28
nsw18,NSW,random,50
nsw18,NSW,spatial,88
nsw23,NSW,random,47
nsw23,NSW,spatial,111
nsw24,NSW,random,46
nsw24,NSW,spatial,86
nsw25,NSW,random,48
nsw25,NSW,spatial,80
nsw27,NSW,random,16
nsw27,NSW,spatial,36
nsw28,NSW,random,13
nsw28,NSW,spatial,35
nsw31,NSW,random,16
nsw31,NSW,spatial,37
nsw32,NSW,random,19
nsw32,NSW,spatial,36
nsw33,NSW,random,12
nsw33,NSW,spatial,62
nsw39,NSW,random,51
nsw39,NSW,spatial,72
nsw40,NSW,random,42
nsw40,NSW,spatial,72
nsw43,NSW,random,43
nsw43,NSW,spatial,68
nsw45,NSW,random,47
nsw45,NSW,spatial,65
nsw49,NSW,random,45
nsw49,NSW,spatial,118
nsw52,NSW,random,47
nsw52,NSW,spatial,124
nsw53,NSW,random,44
nsw53,NSW,spatial,124
nsw54,NSW,random,48
nsw54,NSW,spatial,124
nz01,NZ,random,2
nz01,NZ,spatial,26
nz02,NZ,random,0
nz02,NZ,spatial,20
nz03,NZ,random,1
nz03,NZ,spatial,13
nz04,NZ,random,2
nz04,NZ,spatial,26
nz05,NZ,random,9
nz05,NZ,spatial,20
nz06,NZ,random,4
nz06,NZ,spatial,26
nz07,NZ,random,5
nz07,NZ,spatial,26
nz08,NZ,random,0
nz08,NZ,spatial,13
nz09,NZ,random,9
nz09,NZ,spatial,54
nz10,NZ,random,4
nz10,NZ,spatial,13
nz11,NZ,random,4
nz11,NZ,spatial,13
nz12,NZ,random,3
nz12,NZ,spatial,13
nz13,NZ,random,4
nz13,NZ,spatial,17
nz14,NZ,random,9
nz14,NZ,spatial,24
nz17,NZ,random,2
nz17,NZ,spatial,54
nz18,NZ,random,4
nz18,NZ,spatial,13
nz19,NZ,random,0
nz19,NZ,spatial,15
nz20,NZ,random,4
nz20,NZ,spatial,26
nz21,NZ,random,9
nz21,NZ,spatial,13
nz22,NZ,random,0
nz22,NZ,spatial,13
nz23,NZ,random,4
nz23,NZ,spatial,13
nz24,NZ,random,0
nz24,NZ,spatial,15
nz25,NZ,random,3
nz25,NZ,spatial,13
nz26,NZ,random,0
nz26,NZ,spatial,33
nz27,NZ,random,0
nz27,NZ,spatial,66
nz28,NZ,random,7
nz28,NZ,spatial,13
nz29,NZ,random,3
nz29,NZ,spatial,25
nz30,NZ,random,0
nz30,NZ,spatial,14
nz32,NZ,random,2
nz32,NZ,spatial,15
nz33,NZ,random,5
nz33,NZ,spatial,15
nz34,NZ,random,1
nz34,NZ,spatial,25
nz35,NZ,random,9
nz35,NZ,spatial,13
nz36,NZ,random,4
nz36,NZ,spatial,16
nz37,NZ,random,1
nz37,NZ,spatial,16
nz38,NZ,random,8
nz38,NZ,spatial,13
nz39,NZ,random,0
nz39,NZ,spatial,66
nz40,NZ,random,5
nz40,NZ,spatial,13
nz41,NZ,random,0
nz41,NZ,spatial,15
nz42,NZ,random,0
nz42,NZ,spatial,64
nz43,NZ,random,0
nz43,NZ,spatial,14
nz44,NZ,random,7
nz44,NZ,spatial,13
nz45,NZ,random,4
nz45,NZ,spatial,13
nz46,NZ,random,4
nz46,NZ,spatial,15
nz47,NZ,random,4
nz47,NZ,spatial,14
nz48,NZ,random,0
nz48,NZ,spatial,14
nz49,NZ,random,4
nz49,NZ,spatial,13
nz50,NZ,random,4
nz50,NZ,spatial,13
nz51,NZ,random,3
nz51,NZ,spatial,26
nz52,NZ,random,0
nz52,NZ,spatial,13
sa01,SA,random,1
sa01,SA,spatial,1
sa02,SA,random,1
sa02,SA,spatial,2
sa09,SA,random,1
sa09,SA,spatial,1
sa10,SA,random,1
sa10,SA,spatial,2
sa12,SA,random,1
sa12,SA,spatial,1
sa15,SA,random,1
sa15,SA,spatial,2
sa17,SA,random,1
sa17,SA,spatial,2
sa18,SA,random,2
sa18,SA,spatial,1
sa20,SA,random,1
sa20,SA,spatial,2
sa21,SA,random,1
sa21,SA,spatial,1
sa22,SA,random,2
sa22,SA,spatial,2
sa24,SA,random,1
sa24,SA,spatial,1
sa26,SA,random,2
sa26,SA,spatial,1
swi01,SWI,random,10
swi01,SWI,spatial,42
swi02,SWI,random,6
swi02,SWI,spatial,31
swi03,SWI,random,8
swi03,SWI,spatial,31
swi04,SWI,random,7
swi04,SWI,spatial,31
swi06,SWI,random,7
swi06,SWI,spatial,31
swi07,SWI,random,7
swi07,SWI,spatial,31
swi08,SWI,random,5
swi08,SWI,spatial,31
swi09,SWI,random,6
swi09,SWI,spatial,42
swi10,SWI,random,7
swi10,SWI,spatial,42
swi11,SWI,random,8
swi11,SWI,spatial,31
swi12,SWI,random,5
swi12,SWI,spatial,31
swi13,SWI,random,7
swi13,SWI,spatial,42
swi14,SWI,random,5
swi14,SWI,spatial,31
swi15,SWI,random,6
swi15,SWI,spatial,31
swi16,SWI,random,7
swi16,SWI,spatial,31
swi17,SWI,random,8
swi17,SWI,spatial,31
swi18,SWI,random,6
swi18,SWI,spatial,41
swi19,SWI,random,7
swi19,SWI,spatial,108
swi20,SWI,random,9
swi20,SWI,spatial,31
swi21,SWI,random,6
swi21,SWI,spatial,31
swi22,SWI,random,8
swi22,SWI,spatial,31
swi23,SWI,random,6
swi23,SWI,spatial,32
swi24,SWI,random,9
swi24,SWI,spatial,31
swi25,SWI,random,9
swi25,SWI,spatial,57
swi26,SWI,random,6
swi26,SWI,spatial,31
swi27,SWI,random,9
swi27,SWI,spatial,57
swi28,SWI,random,6
swi28,SWI,spatial,42
swi29,SWI,random,6
swi29,SWI,spatial,31
swi30,SWI,random,8
swi30,SWI,spatial,42
